"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1276015";"";"None";"668.72";"3";"5.74";"5a";"CCOC(=O)c1c(C(=O)Nc2nnc(S(N)(=O)=O)s2)nn(-c2cccc(/N=N/c3c(O)ccc4ccccc34)c2)c1-c1ccccc1";"IC50";"'='";"80.0";"nM";"7.10";"";"";"UO_0000065";"10.61";"0.21";"1.36";"3.48";"0";"CHEMBL1285703";"Inhibition of human carbonic anhydrase 2 hydratase activity by spectrophotometry";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1275267";"1";"Scientific Literature";"Eur J Med Chem";"2010";"None";"";"";"";"0.08"
"CHEMBL1276017";"";"None";"624.66";"2";"2.41";"7a";"CCOC(=O)c1c(C(=O)Nc2nnc(S(N)(=O)=O)s2)nn(-c2cccc(NN=C(C(C)=O)C(C)=O)c2)c1-c1ccccc1";"IC50";"'='";"210.0";"nM";"6.68";"";"";"UO_0000065";"10.69";"0.21";"4.27";"3.07";"0";"CHEMBL1285703";"Inhibition of human carbonic anhydrase 2 hydratase activity by spectrophotometry";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1275267";"1";"Scientific Literature";"Eur J Med Chem";"2010";"None";"";"";"";"0.21"
"CHEMBL1276018";"";"None";"686.73";"2";"3.71";"7b";"CCOC(=O)c1c(C(=O)Nc2nnc(S(N)(=O)=O)s2)nn(-c2cccc(N/N=C(\C(C)=O)C(=O)c3ccccc3)c2)c1-c1ccccc1";"IC50";"'='";"340.0";"nM";"6.47";"";"";"UO_0000065";"9.42";"0.18";"2.76";"2.97";"0";"CHEMBL1285703";"Inhibition of human carbonic anhydrase 2 hydratase activity by spectrophotometry";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1275267";"1";"Scientific Literature";"Eur J Med Chem";"2010";"None";"";"";"";"0.34"
"CHEMBL101792";"";"None";"348.45";"0";"1.28";"11k";"COCCOCCCNCc1cc2cc(S(N)(=O)=O)oc2s1";"IC50";"'='";"14.0";"nM";"7.85";"";"";"UO_0000065";"22.54";"0.49";"6.57";"7.57";"0";"CHEMBL656568";"Inhibition of human erythrocyte carbonic anhydrase II";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125519";"1";"Scientific Literature";"J Med Chem";"1992";"None";"";"";"";"1.4E-8"
"CHEMBL311904";"";"None";"301.35";"0";"1.00";"50";"CN(C)C(=O)Oc1ccc2nc(S(N)(=O)=O)sc2c1";"IC50";"'='";"1.6";"nM";"8.80";"";"";"UO_0000065";"29.19";"0.63";"7.80";"8.57";"0";"CHEMBL656574";"In vitro inhibition of human Carbonic Anhydrase II";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124628";"1";"Scientific Literature";"J Med Chem";"1989";"None";"";"";"";"1.6E-9"
"CHEMBL1788291";"";"None";"346.88";"0";"0.22";"S-4";"CCN[C@H]1CCS(=O)(=O)c2sc(S(N)(=O)=O)cc21.Cl";"IC50";"'='";"0.2";"nM";"9.70";"";"";"UO_0000065";"31.24";"0.74";"9.48";"9.12";"0";"CHEMBL656567";"50% inhibitory concentration against human carbonic anhydrase II (HCA II) after pre-incubation for 4 min at 37 degree C";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124372";"1";"Scientific Literature";"J Med Chem";"1989";"None";"";"";"";"0.2"
"CHEMBL333193";"";"None";"267.35";"0";"0.12";"8";"NS(=O)(=O)c1cc2c(s1)S(=O)(=O)CCC2";"IC50";"'='";"4.5";"nM";"8.35";"";"";"UO_0000065";"31.22";"0.76";"8.23";"8.85";"0";"CHEMBL656573";"In vitro inhibition against purified human erythrocyte carbonic anhydrase II was determined (acetozolamide used as control.)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1123900";"1";"Scientific Literature";"J Med Chem";"1987";"None";"";"";"";"4.5E-9"
"CHEMBL1094856";"";"None";"173.17";"0";"0.35";"11";"O=[N+]([O-])O[C@H]1CC2CCC1[C@@H]2O";"IC50";"'='";"73100.0";"nM";"4.14";"";"";"UO_0000065";"23.88";"0.47";"3.79";"5.70";"0";"CHEMBL1114717";"Inhibition of human carbonic anhydrase 2 esterase activity by spectrophotometry";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157807";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"None";"";"";"";"73.1"
"CHEMBL77517";"INDISULAM";"2.0";"385.85";"0";"2.27";"2";"NS(=O)(=O)c1ccc(S(=O)(=O)Nc2cccc3c(Cl)c[nH]c23)cc1";"IC50";"'='";"15.0";"nM";"7.82";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL657918";"Inhibitory activity of compound against human carbonic anhydrase II";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146823";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"15.0"
"CHEMBL4869398";"";"None";"473.50";"0";"3.99";"77c";"COc1ccc(OC)c(C2CC(c3cc(F)ccc3F)=NN2c2ccc(S(N)(=O)=O)cc2)c1";"IC50";"'='";"4.45";"nM";"8.35";"";"";"UO_0000065";"17.64";"0.35";"4.36";"8.86";"0";"CHEMBL5265198";"Inhibition of human CA2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5260848";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";"";"INHIBITOR";"";"4.45"
"CHEMBL4849196";"";"None";"473.50";"0";"3.99";"77d";"COc1ccc(C2CC(c3cc(F)ccc3F)=NN2c2ccc(S(N)(=O)=O)cc2)cc1OC";"IC50";"'='";"4.45";"nM";"8.35";"";"";"UO_0000065";"17.64";"0.35";"4.36";"8.86";"0";"CHEMBL5265198";"Inhibition of human CA2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5260848";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";"";"INHIBITOR";"";"4.45"
"CHEMBL4872387";"";"None";"473.50";"0";"3.99";"77g";"COc1ccc(OC)c(C2CC(c3cc(F)cc(F)c3)=NN2c2ccc(S(N)(=O)=O)cc2)c1";"IC50";"'='";"4.45";"nM";"8.35";"";"";"UO_0000065";"17.64";"0.35";"4.36";"8.86";"0";"CHEMBL5265198";"Inhibition of human CA2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5260848";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";"";"INHIBITOR";"";"4.45"
"CHEMBL4099344";"";"None";"385.54";"0";"1.60";"4";"O=C(CSC(=S)NN1CCSCC1)NCc1ccc2c(c1)OCO2";"IC50";"'='";"0.338";"nM";"9.47";"";"";"UO_0000065";"24.57";"0.54";"7.87";"15.07";"0";"CHEMBL4041637";"Inhibition of human erythrocyte carbonic anhydrase-2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4041466";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";"";"";"";"0.338"
"CHEMBL4072105";"";"None";"396.54";"0";"1.19";"6";"CCN1CCN(NC(=S)SCC(=O)NCc2ccc3c(c2)OCO3)CC1";"IC50";"'='";"0.802";"nM";"9.10";"";"";"UO_0000065";"22.94";"0.48";"7.91";"13.77";"0";"CHEMBL4041637";"Inhibition of human erythrocyte carbonic anhydrase-2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4041466";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";"";"";"";"0.802"
"CHEMBL540554";"";"None";"394.95";"0";"1.68";"35";"CC(C)(C)NCC(O)COc1ccc2cc(S(N)(=O)=O)sc2c1.Cl";"IC50";"'='";"18.0";"nM";"7.75";"";"";"UO_0000065";"21.60";"0.46";"6.06";"7.62";"0";"CHEMBL656570";"50% inhibition of human carbonic anhydrase II assayed by CO2 hydration catalyzed by human erythrocytes";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124376";"1";"Scientific Literature";"J Med Chem";"1989";"None";"";"";"";"18.0"
"CHEMBL314569";"";"None";"283.35";"0";"-0.39";"20";"NS(=O)(=O)c1cc2c(s1)S(=O)(=O)CCC2O";"IC50";"'='";"13.0";"nM";"7.89";"";"";"UO_0000065";"";"";"";"";"1";"CHEMBL694391";"Inhibitory activity against human carbonic anhydrase II using pH stat assay";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125912";"1";"Scientific Literature";"J Med Chem";"1991";"None";"";"";"";"13.0"
"CHEMBL104000";"";"None";"279.34";"0";"-0.51";"3d";"NS(=O)(=O)c1ccc(S(=O)(=O)CCCO)cc1";"IC50";"'='";"12.0";"nM";"7.92";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL694391";"Inhibitory activity against human carbonic anhydrase II using pH stat assay";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125912";"1";"Scientific Literature";"J Med Chem";"1991";"None";"";"";"";"12.0"
"CHEMBL158090";"";"None";"281.34";"0";"-0.24";"18";"NS(=O)(=O)c1cc2c(s1)C(=O)CCS2(=O)=O";"IC50";"'='";"22.0";"nM";"7.66";"";"";"UO_0000065";"27.22";"0.65";"7.90";"6.88";"0";"CHEMBL656573";"In vitro inhibition against purified human erythrocyte carbonic anhydrase II was determined (acetozolamide used as control.)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1123900";"1";"Scientific Literature";"J Med Chem";"1987";"None";"";"";"";"2.2E-8"
"CHEMBL310903";"";"None";"268.34";"0";"-0.41";"17A";"NS(=O)(=O)c1cc2c(s1)S(=O)(=O)CCN2";"IC50";"'='";"2.46";"nM";"8.61";"";"";"UO_0000065";"32.08";"0.78";"9.02";"8.10";"0";"CHEMBL656577";"Tested for ability to inhibit human erythrocyte carbonic-anhydrase-II- (HCA II) catalyzed carbon dioxide hydration";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1127476";"1";"Scientific Literature";"J Med Chem";"1994";"None";"";"";"";"2.46E-9"
"CHEMBL7002";"CIGLITAZONE";"2.0";"333.45";"0";"3.93";"CIGLITAZONE";"CC1(COc2ccc(CC3SC(=O)NC3=O)cc2)CCCCC1";"IC50";"'='";"86.0";"nM";"7.07";"";"";"UO_0000065";"21.19";"0.42";"3.14";"12.75";"0";"CHEMBL1909123";"DRUGMATRIX: Carbonic Anhydrase II enzyme inhibition (substrate: 4-Nitrophenyl acetate (4-NPA))";"B";"BAO_0000221";"tissue-based format";"Homo sapiens";"None";"None";"Erythrocyte";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3833281";"";"";"";"0.086"
"CHEMBL554091";"";"None";"318.83";"0";"-0.43";"2";"Cl.NC1CCS(=O)(=O)c2sc(S(N)(=O)=O)cc21";"IC50";"'='";"9.2";"nM";"8.04";"";"";"UO_0000065";"28.46";"0.69";"8.47";"6.68";"0";"CHEMBL656566";"50% inhibitory concentration against human carbonic anhydrase II (HCA II) after pre-incubation at 3 degree C";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124372";"1";"Scientific Literature";"J Med Chem";"1989";"None";"";"";"";"9.2"
"CHEMBL79340";"";"None";"391.47";"0";"2.22";"33";"CN(C)Cc1ccc(C(=O)Oc2ccc3nc(S(N)(=O)=O)sc3c2)cc1";"IC50";"'='";"4.0";"nM";"8.40";"";"";"UO_0000065";"21.45";"0.44";"6.18";"8.19";"0";"CHEMBL656575";"In vitro inhibitory activity against human Carbonic anhydrase II";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124628";"1";"Scientific Literature";"J Med Chem";"1989";"None";"";"";"";"4E-9"
"CHEMBL218490";"DORZOLAMIDE";"4.0";"324.45";"0";"0.61";"DZA";"CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21";"IC50";"'='";"9.0";"nM";"8.05";"";"";"UO_0000065";"24.80";"0.58";"7.44";"7.57";"0";"CHEMBL657919";"Inhibitory activity against human carbonic anhydrase II was determined";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148392";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";"";"";"9.0"
"CHEMBL106493";"";"None";"304.39";"0";"1.27";"11j";"COCCCNCc1cc2cc(S(N)(=O)=O)oc2s1";"IC50";"'='";"12.0";"nM";"7.92";"";"";"UO_0000065";"26.02";"0.57";"6.65";"8.38";"0";"CHEMBL656568";"Inhibition of human erythrocyte carbonic anhydrase II";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125519";"1";"Scientific Literature";"J Med Chem";"1992";"None";"";"";"";"1.2E-8"
"CHEMBL3786448";"";"None";"284.38";"0";"0.95";"14";"COc1ccc2c(c1)CC(NS(=O)(=O)N(C)C)CC2";"IC50";"'='";"8.66";"nM";"8.06";"";"";"UO_0000065";"28.35";"0.58";"7.11";"13.75";"0";"CHEMBL3789778";"Inhibition of human carbonic anhydrase 2 using 4-nitrophenylacetate as substrate by spectrophotometric analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3784977";"1";"Scientific Literature";"Bioorg Med Chem";"2016";"None";"";"";"";"8.66"
"CHEMBL3785269";"";"None";"284.38";"0";"0.95";"12";"COc1cccc2c1CCC(NS(=O)(=O)N(C)C)C2";"IC50";"'='";"70.44";"nM";"7.15";"";"";"UO_0000065";"25.15";"0.51";"6.20";"12.20";"0";"CHEMBL3789778";"Inhibition of human carbonic anhydrase 2 using 4-nitrophenylacetate as substrate by spectrophotometric analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3784977";"1";"Scientific Literature";"Bioorg Med Chem";"2016";"None";"";"";"";"70.44"
"CHEMBL104311";"";"None";"247.34";"0";"0.81";"3c";"NS(=O)(=O)c1ccc(SCCCO)cc1";"IC50";"'='";"20.0";"nM";"7.70";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL694391";"Inhibitory activity against human carbonic anhydrase II using pH stat assay";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125912";"1";"Scientific Literature";"J Med Chem";"1991";"None";"";"";"";"20.0"
"CHEMBL6784";"";"None";"201.25";"0";"-0.13";"18";"NS(=O)(=O)c1ccc(CCO)cc1";"IC50";"'='";"3000.0";"nM";"5.52";"";"";"UO_0000065";"27.44";"0.58";"5.65";"6.87";"0";"CHEMBL828069";"Inhibitory concentration against human cystolic isozyme II of Carbonic anhydrase";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138639";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"3.0"
"CHEMBL3415379";"";"None";"413.50";"0";"0.58";"3a";"CCN[C@H]1C[C@H](CCCO[N+](=O)[O-])S(=O)(=O)c2sc(S(N)(=O)=O)cc21";"IC50";"'='";"31.0";"nM";"7.51";"";"";"UO_0000065";"18.16";"0.41";"6.93";"4.73";"0";"CHEMBL3419422";"Inhibition of human carbonic anhydrase 2 assessed as reduction in enzyme activity incubated for 30 mins by fluorescence polarization assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3414464";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";"";"";"31.0"
"CHEMBL87179";"";"None";"243.31";"0";"1.04";"43";"NS(=O)(=O)c1cc2cc(CO)ccc2s1";"IC50";"'='";"9.0";"nM";"8.05";"";"";"UO_0000065";"33.07";"0.73";"7.01";"10.01";"0";"CHEMBL656570";"50% inhibition of human carbonic anhydrase II assayed by CO2 hydration catalyzed by human erythrocytes";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124376";"1";"Scientific Literature";"J Med Chem";"1989";"None";"";"";"";"9.0"
"CHEMBL122708";"EMATE";"None";"349.45";"0";"2.69";"3";"C[C@]12CC[C@@H]3c4ccc(OS(N)(=O)=O)cc4CC[C@H]3[C@@H]1CCC2=O";"IC50";"'='";"10.0";"nM";"8.00";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL657918";"Inhibitory activity of compound against human carbonic anhydrase II";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146823";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"10.0"
"CHEMBL43047";"";"None";"276.43";"0";"2.37";"21";"CCCCCCC(N)c1csc(S(N)(=O)=O)c1";"IC50";"'='";"160.0";"nM";"6.80";"";"";"UO_0000065";"24.58";"0.55";"4.43";"7.89";"0";"CHEMBL656581";"Activity against human carbonic anhydrase II";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1127528";"1";"Scientific Literature";"J Med Chem";"1994";"None";"";"";"";"160.0"
"CHEMBL218490";"DORZOLAMIDE";"4.0";"324.45";"0";"0.61";"trans S,S (table 5)";"CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21";"IC50";"'='";"0.23";"nM";"9.64";"";"";"UO_0000065";"29.71";"0.69";"9.03";"9.06";"0";"CHEMBL656582";"Compound was evaluated for the inhibitory activity against Human Carbonic anhydrase II (HCA II)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1127692";"1";"Scientific Literature";"J Med Chem";"1994";"None";"";"";"";"0.23"
"CHEMBL4868770";"";"None";"427.51";"0";"0.42";"36a";"Cc1ncc([N+](=O)[O-])n1CCNC(=S)NCCc1ccc(NS(N)(=O)=O)cc1";"IC50";"'='";"58.6";"nM";"7.23";"";"";"UO_0000065";"16.92";"0.35";"6.81";"4.60";"0";"CHEMBL5104298";"Inhibition of human recombinant CA2 incubated for 15 mins prior to testing by phenol red based stopped-flow CO2 hydration assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5104090";"1";"Scientific Literature";"Eur J Med Chem";"2021";"None";"TIME = 0.25 hr";"INHIBITOR";"";"58.6"
"CHEMBL4864555";"";"None";"473.50";"0";"3.99";"6h";"COc1ccc(C2CC(c3cc(F)cc(F)c3)=NN2c2ccc(S(N)(=O)=O)cc2)cc1OC";"IC50";"'='";"4.45";"nM";"8.35";"";"";"UO_0000065";"17.64";"0.35";"4.36";"8.86";"1";"CHEMBL5104280";"Inhibition of human CA2 by spectrophotometer based analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5104090";"1";"Scientific Literature";"Eur J Med Chem";"2021";"None";"";"INHIBITOR";"";"4.45"
"CHEMBL20";"ACETAZOLAMIDE";"4.0";"222.25";"0";"-0.86";"1";"CC(=O)Nc1nnc(S(N)(=O)=O)s1";"IC50";"'='";"56.5";"nM";"7.25";"";"";"UO_0000065";"32.61";"0.76";"8.11";"6.30";"0";"CHEMBL929797";"Inhibition of human carbonic anhydrase 2 in presence of 10 mM tris-(carboxyethyl)-phosphine";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141531";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"56.5"
"CHEMBL20";"ACETAZOLAMIDE";"4.0";"222.25";"0";"-0.86";"1";"CC(=O)Nc1nnc(S(N)(=O)=O)s1";"IC50";"'='";"36.0";"nM";"7.44";"";"";"UO_0000065";"33.49";"0.78";"8.30";"6.47";"0";"CHEMBL929803";"Inhibition of human carbonic anhydrase 2 in presence of 0.05 mM threitol";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141531";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"36.0"
"CHEMBL164126";"";"None";"212.23";"0";"0.66";"10a";"Nc1ccc2oc(S(N)(=O)=O)cc2c1";"IC50";"'='";"9.0";"nM";"8.05";"";"";"UO_0000065";"37.91";"0.78";"7.39";"8.10";"0";"CHEMBL656576";"In vitro inhibition of human carbonic anhydrase II (0.1 nM).";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124833";"1";"Scientific Literature";"J Med Chem";"1990";"None";"";"";"";"9.0"
"CHEMBL104868";"";"None";"297.33";"0";"-0.37";"3o";"NS(=O)(=O)c1ccc(S(=O)(=O)CCCO)c(F)c1";"IC50";"'='";"4.5";"nM";"8.35";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL694391";"Inhibitory activity against human carbonic anhydrase II using pH stat assay";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125912";"1";"Scientific Literature";"J Med Chem";"1991";"None";"";"";"";"4.5"
"CHEMBL1276021";"";"None";"654.69";"2";"2.39";"7e";"CCOC(=O)/C(=N/Nc1cccc(-n2nc(C(=O)Nc3nnc(S(N)(=O)=O)s3)c(C(=O)OCC)c2-c2ccccc2)c1)C(C)=O";"IC50";"'='";"160.0";"nM";"6.80";"";"";"UO_0000065";"10.38";"0.21";"4.41";"2.99";"0";"CHEMBL1285703";"Inhibition of human carbonic anhydrase 2 hydratase activity by spectrophotometry";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1275267";"1";"Scientific Literature";"Eur J Med Chem";"2010";"None";"";"";"";"0.16"
"CHEMBL543604";"";"None";"360.91";"0";"0.61";"6";"CCCNC1CCS(=O)(=O)c2sc(S(N)(=O)=O)cc21.Cl";"IC50";"'='";"1.5";"nM";"8.82";"";"";"UO_0000065";"27.20";"0.63";"8.21";"8.30";"0";"CHEMBL656567";"50% inhibitory concentration against human carbonic anhydrase II (HCA II) after pre-incubation for 4 min at 37 degree C";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124372";"1";"Scientific Literature";"J Med Chem";"1989";"None";"";"";"";"1.5"
"CHEMBL545245";"";"None";"332.86";"0";"-0.17";"3";"CNC1CCS(=O)(=O)c2sc(S(N)(=O)=O)cc21.Cl";"IC50";"'='";"13.9";"nM";"7.86";"";"";"UO_0000065";"26.51";"0.63";"8.03";"7.39";"0";"CHEMBL656566";"50% inhibitory concentration against human carbonic anhydrase II (HCA II) after pre-incubation at 3 degree C";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124372";"1";"Scientific Literature";"J Med Chem";"1989";"None";"";"";"";"13.9"
